품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
199603105,세파실캡슐(세파드록실일수화물)(수출명:1.CEXILCAP.2.RUSEFASTCap.3.ZICORAXILCap.4.CFD500Cap.),19900018,한국코러스(주),내수용:흰색의가루가든상부적갈색|하부흰색의경질캡슐제수출용:흰색의가루가든상부진녹색|하부오렌지색의경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Orz9gcUHV4,KorusKorus,-,장방형,갈색,하양,-,-,21.4,7.33,7.64,20050112,6180,주로그람양성|음성균에작용하는것,전문의약품,19960426,경질캡슐제|산제,-,-,-,-,-,-,20240527,2058140116,CEXILCAP.,647200300,8806472003004|8806472003011|8806472003028|8806472003035|8806472003042|8806472003059|8806472003066|8806472003073
200403777,벤다졸정(알벤다졸),19900018,한국코러스(주),미황색의타원형제피정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OlTcytjZV9,Korus,Korus,타원형,노랑,-,-,-,16.35,9.35,5.9,20050330,6420,구충제,일반의약품,20040422,추어블정(저작정),-,-,-,-,-,-,20200402,2058140116,BendazoleTab.,-,8806472010309|8806472010316|8806472010323|8806472010330|8806472010347|8806472010354|8806472010361|8806472010378|8806472010385|8806472010392|8806472010415|8806472010422|8806472010439
199703357,코러스이부프로펜정400밀리그람,19900018,한국코러스(주),주황색의장방형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1j0H,HKIP,-,장방형,주황,-,-,-,15.8,8.6,5.1,20091231,1140,해열.진통.소염제,일반의약품,19970418,필름코팅정,-,-,-,-,-,-,20251010,2058140116,KorusIbuprofenTab.400mg,-,8806472013003|8806472013010|8806472013027|8806472013034
199703379,알마겐트정(알마게이트),19900018,한국코러스(주),백색의장방형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OKRXo9l4Fv,Korus,-,장방형,하양,-,-,-,13.2,8.2,6,20070518,2340,제산제,일반의약품,19970929,나정,-,-,-,-,-,-,20220303,2058140116,AlmagentTab.500mg,647200450,8806472004506|8806472004513|8806472004520|8806472004537
199102960,클록센정100밀리그람(클로르프로칙센),19900019,유니메드제약(주),황색원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200129,UM,-,원형,노랑,-,-,-,8.5,8.5,4.22,20090629,1170,정신신경용제,전문의약품,19911105,나정,-,-,-,-,-,-,-,3128109048,-,-,8806495041908|8806495041915|8806495041922
199102961,발폰정(발프로산나트륨),19900019,유니메드제약(주),황색의장용정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200132,VALP,-,원형,노랑,-,-,-,11.2,11.2,6.2,20050315,1130,항전간제,전문의약품,19911108,장용성필름코팅정,-,-,-,-,-,-,-,3128109048,-,-,8806495008307|8806495008314|8806495008321|8806495008338|8806495008345
199102956,가딘정(라니티딘염산염)(수출명:클라니딘정),19900019,유니메드제약(주),백색의원형필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pc8NyfFFcH,GADIN150,UM,원형,하양,-,-,-,10.85,10.85,4.35,20050315,2320,소화성궤양용제,전문의약품,19911108,필름코팅정,-,-,-,-,-,-,-,3128109048,GadinTab.,-,8806495000202|8806495000219|8806495000226
199202946,옥타신정(오플록사신),19900019,유니메드제약(주),백색원형의필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151369795248800100,OCTA100,-,원형,하양,-,-,-,8.1,8.1,4,20050804,6290,기타의화학요법제,전문의약품,19920706,필름코팅정,-,-,-,-,-,-,20260323,3128109048,OctacinTab.,649501940,8806495019402|8806495019419|8806495019426|8806495019433|8806495019440|8806495019457|8806495019464|8806495019471
199202909,엔킬캅셀(폴리사카라이드케이),19900019,유니메드제약(주),약간특이한향취가있는갈색의분말이든(상부)갈색|(하부)미황색의캅셀제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200095,UMENKIL,-,장방형,갈색,노랑,-,-,21,7.33,7.6,20041126,4210,항악성종양제,전문의약품,19920410,경질캡슐제|산제,-,-,-,-,-,-,-,3128109048,EnkilCap.,-,8806495017309|8806495017316|8806495017323|8806495017330
199202947,게리딘캅셀(겜피브로질),19900019,유니메드제약(주),백색분말이충진된상부적갈색|하부백색의캅셀제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151317963768200103,UMGERIDIN,-,장방형,빨강,하양,-,-,21,7.33,7.64,20041126,2180,동맥경화용제,전문의약품,19920925,경질캡슐제|산제,-,-,-,-,-,-,-,3128109048,-,-,8806495000806|8806495000813|8806495000820
